Авто;Марка;Модель;Номер;Год;Цвет;Кузов;Двигатель;Мощность;Топливо;Бак;Расход;Категория;Мест;Дверей;Кондиционер;Салон;Крыша;Стеклоподъемники;Подушки;Сторона руля;Круиз;Камера ЗВ;Парктроник;Радио;CD;MP3;USB;AUX;Bluetooth;Дата ТО;Сутки;Залог;Мин возраст;Мин стаж;Страховка;Договор Страх;Кутаиси;Тбилиси;Батуми;ЦРМ;РУ сайт;АНГ сайт;VIN;Партнер;Свидетельство;Коробка;Привод
BMW X5 DF603DD;BMW;X5;DF603DD;2015;Серый;crossover;4,4;450;Benzin;85;12;b;7;4;Климат. 4 зоны;Кожа-спорт;Люк;4;5;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;14.12.2025;5;300;18;2;129,25;AUT 0000-47820;Нет;https://partner.localrent.com/cars/74532/edit/;https://partner.localrent.com/cars/91240/edit/;https://web.rentprog.ru/cars/55895;https://geodrive.info/geotbilisi/tproduct/910521185962;https://en.geodrive.info/geotbilisi/tproduct/234421760862;5UXKR6C59G0J80662;;AJA5976689;Автомат;Полный;
Toyota Camry TT262TH;Toyota;Camry;TT262TH;2021;Серый;sedan;2,5;202;Benzin;60;7;b;5;4;Климат 1-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;24.01.2026;5;100;21;2;117;AUT 0000-47943;Нет;https://partner.localrent.com/cars/75158/edit/;Нет;https://web.rentprog.ru/cars/56006;https://geodrive.info/geotbilisi/tproduct/581178752892;https://en.geodrive.info/geotbilisi/tproduct/839723550982;4T1G11AK2MU564227;;AJA5576599;Автомат;Передний;
Mazda 6 UM562UM;Mazda;6;UM562UM;2013;Белый;sedan;2,5;190;Benzin;55;7;b;5;4;Климат 2-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Есть;Есть;Есть;Есть;Есть;07.11.2025;5;100;18;2;48,2;AUT 0000-50227;https://partner.localrent.com/cars/91247/edit/;Нет;Нет;https://web.rentprog.ru/cars/59087;https://geodrive.info/geotbilisi/tproduct/187393584472;https://en.geodrive.info/geotbilisi/tproduct/623431050852;JM1GJ1T67E1156068;Дидонов 2;AJA5572522;Автомат;Передний;
BMW X6 RR704SR;BMW;X6;RR704SR;2015;Красный;crossover;3;300;Benzin;85;10;b;5;4;Климат 2-зонный;Кожа-спорт;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;23.06.2026;20;300;21;2;137,5;AUT 0000-50322;Нет;https://partner.localrent.com/cars/88641/edit/;Нет;https://web.rentprog.ru/cars/59439;https://geodrive.info/geotbilisi/tproduct/129389604652;https://en.geodrive.info/geotbilisi/tproduct/159014745372;5UXKU2C50F0N77795;;AJA5605650;Автомат;Полный;
Dodge Challenger TR001OF;Dodge;Challenger;TR001OF;2017;Серый;coupe;3,6;305;Benzin;70;10,3;b;4;2;Климат 1-зонный;Ткань;Обычная;Нет;0;left_wheel;Нет;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Есть;06.01.2027;5;100;18;2;68,75;AUT 0000-51276;Нет;https://partner.localrent.com/cars/93114/edit/;https://partner.localrent.com/cars/90550/edit/;https://web.rentprog.ru/cars/60916;https://geodrive.info/geotbilisi/tproduct/591967976842;https://en.geodrive.info/geotbilisi/tproduct/677148052552;2C3CDZAG9JH202306;Черкас Трофим;AJA5830799;Автомат;Задний;
Audi Q7 XX950DX;Audi;Q7;XX950DX;2018;Белый;crossover;2;252;Benzin;75;9;b;7;4;Климат. 4 зоны;Кожа;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;13.03.2027;5;200;18;2;158,15;AUT 0000-50540;Нет;https://partner.localrent.com/cars/54671/edit/;https://partner.localrent.com/cars/93109/edit/;https://web.rentprog.ru/cars/59772;https://geodrive.info/geotbilisi/tproduct/824174365132;https://en.geodrive.info/geotbilisi/tproduct/680654735342;WA1LHAF75JD045715;Касумов Дурсун;AJA5641456;Автомат;Полный;
Kia Sportage DF298DD;Kia;Sportage;DF298DD;2017;Серый;crossover;2,4;184;Benzin;60;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;21.12.2026;5;100;18;2;61,9;AUT 0000-48139;Нет;https://partner.localrent.com/cars/75159/edit/;Нет;https://web.rentprog.ru/cars/55871;https://geodrive.info/geotbilisi/tproduct/567183304992;https://en.geodrive.info/geotbilisi/tproduct/612778378832;KNDPMCAC7J7340624;Никишова Мария;AJA5083803;Автомат;Полный;
Jeep Renegade BB678YY;Jeep;Renegade;BB678YY;2016;Красный;crossover;2,4;184;Benzin;60;8;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;10.04.2026;5;100;18;2;47;AUT 0000-49050;https://partner.localrent.com/cars/91241/edit/;https://partner.localrent.com/cars/88639/edit/;Нет;https://web.rentprog.ru/cars/57540;https://geodrive.info/geotbilisi/tproduct/290190335332;https://en.geodrive.info/geotbilisi/tproduct/972273872852;ZACCJBDTXGPD11532;Михалин Денис;AQA0809672;Автомат;Полный;
Maserati Levante SQ4 WQ686WQ;Maserati;Levante SQ4;WQ686WQ;2018;Черный;crossover;3;450;Benzin;60;12;b;5;4;Климат 2-зонный;Кожа-спорт;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;30.04.2027;5;400;21;2;137,5;AUT 0000-53416;Нет;https://partner.localrent.com/cars/88637/edit/;Нет;https://web.rentprog.ru/cars/61630;https://geodrive.info/geotbilisi/tproduct/918593791112;https://en.geodrive.info/geotbilisi/tproduct/783941721872;ZN661YUA9JX303603;;AJA6009864;Автомат;Полный;
Fiat 500 MC238MM;Fiat;500;MC238MM;2012;Зеленый;cabriolet;1,4;100;Benzin;45;6;b;4;2;Кондиционер;Кожа;Мягкая складная автоматическая;2;2;left_wheel;Есть;Нет;Есть;Есть;Нет;Есть;Есть;Нет;Есть;09.09.2026;5;100;18;2;34,4;AUT 0000-52138;Нет;https://partner.localrent.com/cars/88638/edit/;https://partner.localrent.com/cars/96119/edit/;https://web.rentprog.ru/cars/61673;https://geodrive.info/geotbilisi/tproduct/639291360182;https://en.geodrive.info/geotbilisi/tproduct/829537666072;3C3CFFDR4DT554551;Михалин Денис;AJA6012366;Автомат;Передний;
Ford Explorer WQ464WQ;Ford;Explorer;WQ464WQ;2018;Серый;crossover;3,5;290;Benzin;70;12;b;7;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;11.06.2027;5;100;18;2;83;AUT 0000-52960;Нет;https://partner.localrent.com/cars/89754/edit/;https://partner.localrent.com/cars/90552/edit/;https://web.rentprog.ru/cars/62396;https://geodrive.info/geotbilisi/tproduct/698749962882;https://en.geodrive.info/geotbilisi/tproduct/911764720922;1FM5K7D84JGB15715;Никишова Мария;AJA6001320;Автомат;Передний;
Toyota Rav 4 EP021EP;Toyota;Rav 4;EP021EP;2020;Серый;crossover;2,5;203;Benzin;44;9,4;b;5;4;Климат 1-зонный;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;27.05.2027;5;100;21;2;110;AUT 0000-53547;Нет;https://partner.localrent.com/cars/92250/edit/;Нет;https://web.rentprog.ru/cars/63668;https://geodrive.info/geotbilisi/tproduct/363682202642;https://en.geodrive.info/geotbilisi/tproduct/159860581552;2T3F1RFV4LC138415;Касумов Дурсун;AJA6423210;Автомат;Полный;
Kia Soul PF769PP;Kia;Soul;PF769PP;2018;Черный;hatchback;2;161;Benzin;50;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Нет;Нет;Есть;Есть;Есть;Есть;24.01.2027;5;100;18;2;56,8;AUT 0000-56480;Нет;https://partner.localrent.com/cars/92253/edit/;Нет;https://web.rentprog.ru/cars/62959;https://geodrive.info/geotbilisi/tproduct/347870838632;https://en.geodrive.info/geotbilisi/tproduct/420014313082;KNDJP3A5XK7910454;Никишова Мария;BVA124916;Автомат;Передний;
Kia Soul  QZ101QQ;Kia Soul;;QZ101QQ;2019;Black;;;;;;;;;;;;Обычная;;;;;;;;;;;;;09.12.2026;10;100;21;2;68,75;AUT 0000-55257;Нет;Нет;Нет;https://web.rentprog.ru/cars/65470;https://geodrive.info/geotbilisi/tproduct/234370932042;https://en.geodrive.info/geotbilisi/tproduct/683142260552;KNAJ581FGL7097837;;AJA6809529;Автомат;Передний;
Toyota Corolla Cross CJ686CC;Toyota;Corolla Cross;CJ686CC;2023;Черный;crossover;2;180;Benzin;60;6;b;5;4;Климат 1-зонный;Ткань;Обычная;4;5;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;20.10.2028;13;100;21;2;123,75;AUT 0000-53767;https://partner.localrent.com/cars/91242/edit/;Нет;Нет;https://web.rentprog.ru/cars/64019;https://geodrive.info/geotbilisi/tproduct/905779830722;https://en.geodrive.info/geotbilisi/tproduct/673649704432;7MUCAABG8PV071924;Александр Лункин;AJA7621349;Автомат;Полный;
Porsche Cayenne GTS  AR958ES;Porsche Cayenne GTS;;AR958ES;2012;null;;;;;;;;;;;;Обычная;;;;;;;;;;;;;21.05.2026;5;300;21;2;0;;Нет;Нет;Нет;https://web.rentprog.ru/cars/63441;https://geodrive.info/geotbilisi/tproduct/19040668257 2;https://en.geodrive.info/geotbilisi/tproduct/96057264862 2;WP1AD2A23DLA77226;;AJ2606542;Автомат;Полный;
Toyota Camry ZR174ZR;Toyota;Camry;ZR174ZR;2021;Белый;sedan;2,5;202;Benzin;64;9;b;5;4;Климат 1-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;17.10.2026;5;100;21;2;103;AUT 0000-52175;Нет;https://partner.localrent.com/cars/89755/edit/;https://partner.localrent.com/cars/91171/edit/;https://web.rentprog.ru/cars/61936;https://geodrive.info/geotbilisi/tproduct/551804827842;https://en.geodrive.info/geotbilisi/tproduct/976727616652;4T1G11AK5MU584892;Касумов Дурсун;AJA7594738;Автомат;Передний;
Subaru Outback RR814WR;Subaru;Outback;RR814WR;2016;Синий;crossover;3,6;256;Benzin;60;13;b;5;4;Климат 2-зонный;Кожа;Люк;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;27.02.2026;5;100;21;2;58,5;AUT 0000-53629;Нет;https://partner.localrent.com/cars/92256/edit/;https://partner.localrent.com/cars/90554/edit/;https://web.rentprog.ru/cars/63899;https://geodrive.info/geotbilisi/tproduct/284620575582;https://en.geodrive.info/geotbilisi/tproduct/386610203672;4S4BSENCXG3351005;Ломия;CVA0180757;Автомат;Полный;
Kia Soul NR136NR;Kia;Soul;NR136NR;2015;Синий;hatchback;2;161;Benzin;55;7;b;5;4;Климат 1-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;07.09.2026;5;100;18;2;41,25;AUT 0000-53083;https://partner.localrent.com/cars/91245/edit/;https://partner.localrent.com/cars/67521/edit/;Нет;https://web.rentprog.ru/cars/62996;https://geodrive.info/geotbilisi/tproduct/246069426342;https://en.geodrive.info/geotbilisi/tproduct/323927560752;KNDJP3A55G7274789;Черкас Трофим;AJA6318397;Автомат;Передний;
Kia Sportage WT572WT;Kia;Sportage;WT572WT;2022;Белый;crossover;2,5;190;Benzin;60;7,6;b;5;4;Климат 2-зонный;Ткань;Обычная;4;5;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;27.05.2027;5;100;18;2;130,6;AUT 0000-53751;Нет;https://partner.localrent.com/cars/92249/edit/;https://partner.localrent.com/cars/96118/edit/;https://web.rentprog.ru/cars/63948;https://geodrive.info/geotbilisi/tproduct/332420181832;https://en.geodrive.info/geotbilisi/tproduct/491563488412;5XYK6CAF6PG022732;Никишова Мария;AQA1000712;Автомат;Полный;
Mazda CX-5 WG516GG;Mazda;CX-5;WG516GG;2023;Серый;crossover;2,5;187;Benzin;58;9;b;5;4;Климат 2-зонный;Кожа;Люк;4;5;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;27.05.2028;5;100;18;2;106,6;AUT 0000-53628;Нет;https://partner.localrent.com/cars/92254/edit/;https://partner.localrent.com/cars/93110/edit/;https://web.rentprog.ru/cars/63855;https://geodrive.info/geotbilisi/tproduct/133111384072;https://en.geodrive.info/geotbilisi/tproduct/304927486552;JM3KFBCM5P0274376;Никишова Мария;AQA1004670;Автомат;Полный;
BMW 430i IV430AN/;BMW;430i;IV430AN/;2019;Серый;cabriolet;2;252;Benzin;60;6;b;4;2;Климат 2-зонный;Кожа-спорт;Жесткая складная автоматическая;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Нет;Есть;Есть;Есть;30.04.2027;5;200;18;2;110;AUT 0000-53125;Нет;Нет;https://partner.localrent.com/cars/90547/edit/;https://web.rentprog.ru/cars/63041;https://geodrive.info/geotbilisi/tproduct/491784595482;https://en.geodrive.info/geotbilisi/tproduct/763142944942;WBA4Z1C03L5N40567;Иван Сойка ;BVA1239595;Автомат;Передний;
BMW 530i QY309QY;BMW;530i;QY309QY;2017;Черный;sedan;2;252;Benzin;68;7;b;5;4;Климат 2-зонный;Кожа;Люк;4;5;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;21.05.2027;5;300;18;2;103;AUT 0000-52690;Нет;https://partner.localrent.com/cars/92255/edit/;Нет;https://web.rentprog.ru/cars/62640;https://geodrive.info/geotbilisi/tproduct/467543684442;https://en.geodrive.info/geotbilisi/tproduct/270640746961;WBAJA7C30HG905712;;AJA6228253;Автомат;Задний;
Jeep Renegade RR635WR;Jeep;Renegade;RR635WR;2016;Серый;crossover;2,4;184;Benzin;49;8;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;16.04.2026;5;100;18;2;55;AUT 0000-53820;Нет;https://partner.localrent.com/cars/92252/edit/;Нет;https://web.rentprog.ru/cars/63947;https://geodrive.info/geotbilisi/tproduct/200404121942;https://en.geodrive.info/geotbilisi/tproduct/793631183602;ZACCJBCB9HPE93928;Ломия;CVA0180324;Автомат;Полный;
Hyundai Santa-Fe GG460ZG;Hyundai;Santa-Fe;GG460ZG;2018;Синий;crossover;2,4;188;Benzin;71;9;b;5;4;Кондиционер;Ткань;Обычная;4;5;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;18.04.2026;5;100;18;2;75,6;AUT 0000-53189;Нет;https://partner.localrent.com/cars/89750/edit/;https://partner.localrent.com/cars/91239/edit/;https://web.rentprog.ru/cars/63336;https://geodrive.info/geotbilisi/tproduct/985545052102;https://en.geodrive.info/geotbilisi/tproduct/837211963172;5NMS33AD6KH026799;Никишова Мария;AJA6351172;Автомат;Передний;
Hyundai Tucson GG668ZG;Hyundai;Tucson;GG668ZG;2021;Серый;crossover;2,5;190;Benzin;54;7,6;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;13.05.2026;5;100;18;2;137,5;AUT 0000-53214;Нет;https://partner.localrent.com/cars/89758/edit/;Нет;https://web.rentprog.ru/cars/63338;https://geodrive.info/geotbilisi/tproduct/111351470882;https://en.geodrive.info/geotbilisi/tproduct/556070840252;KM8JA3AE2NU024292;Никишова Мария;AJA6359492;Автомат;Передний;
Mercedes GLS 450 OO700JO;Mercedes;GLS 450;OO700JO;2018;Белый;crossover;3;362;Benzin;100;12,4;b;7;4;Климат. 4 зоны;Ткань;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Нет;Есть;02.08.2027;30;300;21;2;172;AUT 0000-54862;Нет;https://partner.localrent.com/cars/102183/edit/;Нет;https://web.rentprog.ru/cars/65311;https://geodrive.info/geotbilisi/tproduct/653136076812;https://en.geodrive.info/geotbilisi/tproduct/420264950542;4JGDF6EE3KB213843;Касумов Дурсун;AJA6676101;Автомат;Полный;
Mazda CX-30 PP692TP;Mazda;CX-30;PP692TP;2023;Синий;crossover;2;191;Benzin;48;8;b;5;4;Климат 2-зонный;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;25.07.2028;5;100;18;2;116,9;AUT 0000-54050;Нет;https://partner.localrent.com/cars/113385/edit/;https://partner.localrent.com/cars/96117/edit/;https://web.rentprog.ru/cars/64132;https://geodrive.info/geotbilisi/tproduct/151017335302;https://en.geodrive.info/geotbilisi/tproduct/491624177132;3MVDMBBM1PM505990;Крылов Антон;AJA6533045;Автомат;Передний;
Hyundai Kona JR983JR;Hyundai;Kona;JR983JR;2021;Черный;crossover;2;147;Benzin;50;9;b;5;4;Кондиционер;Ткань;Обычная;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;23.07.2026;5;100;18;2;79;AUT 0000-54052;Нет;Нет;https://partner.localrent.com/cars/113383/edit/;https://web.rentprog.ru/cars/64133;https://geodrive.info/geotbilisi/tproduct/561753726662;https://en.geodrive.info/geotbilisi/tproduct/551627658302;KM8K6CAB8NU853296;Крылов Антон;AJA6523757;Автомат;Полный;
Ford Mustang GT ZW648WW;Ford;Mustang GT;ZW648WW;2014;Черный;cabriolet;5;420;Benzin;68;13;b;4;2;Климат 2-зонный;Кожа-спорт;Мягкая складная автоматическая;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;07.04.2026;5;200;18;2;96,25;AUT 0000-54057;Нет;Нет;https://partner.localrent.com/cars/93112/edit/;https://web.rentprog.ru/cars/64406;https://geodrive.info/geotbilisi/tproduct/164948540912;https://en.geodrive.info/geotbilisi/tproduct/263975024002;1FATP8FF4F5329319;;DVA1072819;Автомат;Полный;
Mazda 3 NN371KN;Mazda;3;NN371KN;2021;Красный;sedan;2,5;186;Benzin;45;8;b;5;4;Климат 2-зонный;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;22.09.2026;5;100;18;2;75,6;AUT 0000-54450;Нет;https://partner.localrent.com/cars/107407/edit/;Нет;https://web.rentprog.ru/cars/64919;https://geodrive.info/geotbilisi/tproduct/169004869792;https://en.geodrive.info/geotbilisi/tproduct/322113744442;JM1BPBBL3M1332585;Александр Лункин;AJA7406540;Автомат;Полный;
Hyundai Tucson QQ325EQ;Hyundai;Tucson;QQ325EQ;2023;Белый;crossover;2,5;190;Benzin;54;7,5;b;5;4;Климат 2-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;07.11.2028;5;100;18;2;151,25;AUT 0000-54051;Нет;https://partner.localrent.com/cars/92251/edit/;Нет;https://web.rentprog.ru/cars/64194;https://geodrive.info/geotbilisi/tproduct/472324962722;https://en.geodrive.info/geotbilisi/tproduct/623125556102;5NMJFCAEXPH225051;Александр Лункин;AJA6526777;Автомат;Передний;
Toyota Camry 80  DK700DK;Toyota Camry 80;;DK700DK;2024;Grey;;;;;;;;;;;;Обычная;;;;;;;;;;;;;12.07.2029;17;100;21;2;192,5;AUT 0000-55222;Нет;Нет;Нет;https://web.rentprog.ru/cars/66047;https://geodrive.info/geotbilisi/tproduct/298929776942;https://en.geodrive.info/geotbilisi/tproduct/607870668392;4T1DAACK0SU565907;;AJA6854421;Автомат;Передний;
Kia Sportage IV 256 Blue/gray  FK256FF;Kia Sportage IV 256 Blue/gray;;FK256FF;2016;Blue;;;;;;;;;;;;Обычная;;;;;;;;;;;;;02.11.2025;12;100;21;2;55;AUT 0000-55314;Нет;Нет;Нет;https://web.rentprog.ru/cars/66067;https://geodrive.info/geotbilisi/tproduct/225381345082;https://en.geodrive.info/geotbilisi/tproduct/173632610592;KNDPMCAC4H7185458;Никишова Мария;AJA6920589;Автомат;Полный;
Porsche Boxter  LO987KI;Porsche Boxter;;LO987KI;2005;RED;;;;;;;;;;;;Обычная;;;;;;;;;;;;;09.06.2026;5;100;18;2;0;;Нет;Нет;Нет;https://web.rentprog.ru/cars/64765;https://geodrive.info/geotbilisi/tproduct/;https://en.geodrive.info/geotbilisi/tproduct/;WP0CA29885U711685;;AJA2713219;Автомат;Задний;
Volkswagen Beetle  BI355II;Volkswagen Beetle;;BI355II;2015;Blue;;;;;;;;;;;;Обычная;;;;;;;;;;;;;08.03.2026;5;100;18;2;43,3;AUT 0000-56022;Нет;Нет;Нет;https://web.rentprog.ru/cars/66144;https://geodrive.info/geotbilisi/tproduct/693556258052;https://en.geodrive.info/geotbilisi/tproduct/508264623832;3VWJA7AT5FM616136;Михалин Денис;AJA6879387;Автомат;Передний;
Toyota Corolla Cross AP589AA;Toyota;Corolla Cross;AP589AA;2022;Черный;crossover;2;170;Benzin;47;8,3;b;5;4;Климат 1-зонный;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;25.09.2027;13;100;21;2;123,76;AUT 0000-54632;Нет;https://partner.localrent.com/cars/102191/edit/;Нет;https://web.rentprog.ru/cars/64840;https://geodrive.info/geotbilisi/tproduct/286549556732;https://en.geodrive.info/geotbilisi/tproduct/213405503232;7MUAAABG5NV014360;Александр Лункин;AJA7433555;Автомат;Передний;
BMW X1 CX036CX;BMW;X1;CX036CX;2016;Серый;crossover;2;231;Benzin;61;6,9;b;5;4;Климат 1-зонный;Ткань;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;11.12.2025;5;100;18;2;57;AUT 0000-55796;Нет;https://partner.localrent.com/cars/96620/edit/;Нет;https://web.rentprog.ru/cars/66415;https://geodrive.info/geotbilisi/tproduct/352591562842;https://en.geodrive.info/geotbilisi/tproduct/149743246012; WBXHT3C39G5E50492;;AJA7029727;Автомат;Полный;
Kia Soul EP962EP;Kia;Soul;EP962EP;2020;Красный;hatchback;2;147;Benzin;54;7,9;b;5;4;Климат 2-зонный;Ткань;Люк;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;17.07.2027;10;100;21;2;68,75;AUT 0000-55568;Нет;https://partner.localrent.com/cars/107409/edit/;Нет;https://web.rentprog.ru/cars/66242;https://geodrive.info/geotbilisi/tproduct/506633382182;https://en.geodrive.info/geotbilisi/tproduct/105999499272;KNDJ33AU8M7760947;Крылов Антон;AJA6695571;Автомат;Передний;
Kia Soul  TS078TT;Kia Soul;;TS078TT;2019;Red;;;;;;;;;;;;Обычная;;;;;;;;;;;;;29.09.2027;;;;;68,75;AUT 0000-56905;Нет;Нет;Нет;https://web.rentprog.ru/cars/68353;https://geodrive.info/geotbilisi/tproduct/;https://en.geodrive.info/geotbilisi/tproduct/;KNDJ23AU5L7722321;;BVA1475789;Автомат;Передний;
Honda HR-V  RV933RR;Honda HR-V;;RV933RR;2024;White;;;;;;;;;;;;Обычная;;;;;;;;;;;;;07.10.2029;12;100;21;2;110;AUT0000-57628;Нет;Нет;Нет;https://web.rentprog.ru/cars/68976;https://geodrive.info/geotbilisi/tproduct/147607768192;https://en.geodrive.info/geotbilisi/tproduct/262681344362;3CZRZ2H55RM769753;;OVA0954109;Автомат;Полный;
Mercedes GLS 450  WX370WX;Mercedes GLS 450;;WX370WX;2020;Blue;;;;;;;;;;;;Обычная;;;;;;;;;;;;;24.10.2027;5;100;18;2;275;AUT 0000-58049;Нет;Нет;Нет;https://web.rentprog.ru/cars/69168;https://geodrive.info/geotbilisi/tproduct/;https://en.geodrive.info/geotbilisi/tproduct/;4JGFF5KE7LA215111;;AJA7700048;Автомат;Передний;
Buick Encore  CC760XC;Buick Encore;;CC760XC;2018;Gray;;;;;;;;;;;;Стеклянная;;;;;;;;;;;;;11.07.2027;;;;;;;Нет;Нет;Нет;https://web.rentprog.ru/cars/66996;https://geodrive.info/geotbilisi/tproduct/;https://en.geodrive.info/geotbilisi/tproduct/;KL4CJ2SB2JB535769;;BVA1380491;Автомат;Полный;
Toyota Rav 4   JU904UU;Toyota Rav 4 ;;JU904UU;2019;White;;;;;;;;;;;;Обычная;;;;;;;;;;;;;10.10.2027;5;100;18;2;123,75;AUT 0000-56490;Нет;Нет;Нет;https://web.rentprog.ru/cars/67616;https://geodrive.info/geotbilisi/tproduct/379623592222;https://en.geodrive.info/geotbilisi/tproduct/394387040852;JTMMWRFV1KD017022;;AJA7240337;Автомат;Полный;
